Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Run Cadence,Max Run Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2022-07-26 16:45:55,false,"Running","4,23","376","00:36:23","141","179","120","167","8:37","4:26","--","--","0,94","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:58.57.5","15","0,0","00:33:09","00:36:23","--","--"
Running,2022-07-25 16:39:42,false,"Running","4,87","445","00:40:39","142","174","120","170","8:21","4:36","--","--","0,98","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","01:09.05.6","11","0,0","00:37:06","00:40:39","--","--"
Running,2022-07-19 16:50:46,false,"Running","4,63","387","00:40:37","131","167","119","167","8:47","4:26","--","--","0,93","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:36.14","16","0,0","00:38:27","00:40:37","--","--"
Running,2022-05-11 16:18:11,false,"Running","6,22","594","00:48:39","154","178","128","168","7:49","4:35","--","--","0,97","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","01:00.76.3","22","0,0","00:44:34","00:48:39","--","--"
Running,2022-05-09 17:45:04,false,"Running","5,98","525","00:44:06","149","176","134","167","7:23","4:30","--","--","0,99","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:04.50","21","0,0","00:42:18","00:44:06","--","--"
Running,2022-02-03 17:23:50,false,"Running","5,61","473","00:36:34","161","173","143","167","6:31","4:32","--","--","1,03","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:03.59.6","11","0,0","00:33:30","00:37:01","--","--"
Running,2022-02-02 17:21:20,false,"Running","4,65","391","00:34:08","147","178","129","226","7:21","3:15","--","--","1,02","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:06.58.1","18","0,0","00:32:20","00:34:08","--","--"
Running,2022-02-01 17:07:06,false,"Running","5,41","446","00:34:59","158","175","147","170","6:28","4:21","--","--","1,03","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","01:59.31.3","10","0,0","00:34:35","00:34:59","--","--"
Running,2022-02-01 16:55:32,false,"Running","1,00","85","00:10:05","118","128","112","133","10:05","7:40","--","--","0,89","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","10:05.15.6","1","0,0","00:09:31","00:10:05","--","--"
Running,2022-01-31 17:00:21,false,"Running","6,75","568","00:52:45","145","175","125","241","7:49","3:14","--","--","0,98","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","01:30.75.7","17","0,0","00:47:48","00:52:45","--","--"
Running,2022-01-25 17:14:20,false,"Running","6,61","552","00:48:03","149","176","136","168","7:16","4:34","--","--","0,98","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","01:59.03.8","12","0,0","00:45:56","00:48:03","--","--"
Running,2022-01-24 17:06:59,false,"Running","6,35","573","00:51:59","144","177","122","170","8:11","4:32","--","--","0,97","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:48.68.7","17","0,0","00:46:17","00:52:55","--","--"
Running,2022-01-20 17:18:29,false,"Running","4,32","397","00:36:45","147","179","120","176","8:30","4:18","--","--","0,94","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","01:00.92.3","13","0,0","00:35:07","00:36:45","--","--"
Running,2022-01-19 16:46:29,false,"Running","7,36","660","00:55:23","153","186","132","170","7:31","4:28","--","--","0,97","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","02:30.59.5","13","0,0","00:53:17","00:55:23","--","--"
Running,2022-01-18 16:57:04,false,"Running","6,41","546","00:54:23","137","173","121","167","8:29","4:38","--","--","0,94","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","01:31.07.7","15","0,0","00:51:57","00:54:23","--","--"
Running,2022-01-17 16:59:48,false,"Running","6,50","534","00:55:54","135","172","120","167","8:36","4:34","--","--","0,94","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","01:30.47.3","15","0,0","00:51:35","00:56:05","--","--"
Running,2021-11-04 18:00:11,false,"Running","6,80","510","00:39:42","159","177","152","170","5:50","4:11","--","--","1,11","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","01:57.64.7","10","0,0","00:39:01","00:40:00","--","--"
Running,2021-10-25 17:14:10,false,"Running","6,83","504","00:38:38","162","176","155","249","5:39","3:29","--","--","1,13","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","02:02.66","9","0,0","00:37:56","00:39:38","--","--"
Running,2021-10-20 18:51:59,false,"Running","6,70","451","00:44:27","138","171","139","176","6:38","3:57","--","--","1,06","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:51.81.2","12","0,0","00:42:00","00:44:27","--","--"
Running,2021-10-19 16:25:18,false,"Running","6,08","476","00:37:55","157","175","148","241","6:14","3:03","--","--","1,06","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","01:31.28","11","0,0","00:36:18","00:37:55","--","--"
Running,2021-10-14 16:48:44,false,"Running","8,83","684","00:53:13","163","180","153","170","6:02","4:23","--","--","1,07","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","02:29.87.1","11","0,0","00:52:05","00:53:13","--","--"
Running,2021-10-12 16:47:29,false,"Running","7,45","544","00:51:07","141","190","137","169","6:52","4:21","--","--","1,04","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","01:25.47.5","11","0,0","00:49:11","00:51:07","--","--"
Running,2021-10-02 16:46:57,false,"Running","8,23","653","00:58:37","146","173","139","170","7:07","4:38","--","--","0,98","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","03:25.38.8","9","0,0","00:54:46","00:58:37","--","--"
Running,2021-09-21 17:01:26,false,"Running","4,73","412","00:38:05","152","178","116","169","8:03","4:21","--","--","1,03","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:45.65.7","9","0,0","00:31:05","00:38:05","--","--"
Running,2021-09-14 17:24:24,false,"Running","4,69","348","00:28:31","155","173","147","169","6:05","4:27","--","--","1,11","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","03:04.63.9","6","0,0","00:27:14","00:29:29","--","--"
Running,2021-09-13 17:33:04,false,"Running","6,57","520","00:39:19","164","175","151","169","5:59","4:26","--","--","1,09","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","01:02.31.7","10","0,0","00:38:17","00:39:19","--","--"
Running,2021-09-10 16:40:54,false,"Running","6,73","522","00:50:28","144","174","132","169","7:30","4:22","--","--","0,98","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","02:30.64.7","11","0,0","00:49:28","00:50:46","--","--"
Running,2021-09-09 17:01:44,false,"Running","6,22","538","00:40:27","165","184","144","190","6:30","4:23","--","--","1,05","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","02:00.85","13","0,0","00:39:35","00:41:09","--","--"
Running,2021-09-08 16:28:50,false,"Running","5,98","482","00:43:20","148","183","132","172","7:15","4:18","--","--","1,01","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:34.07.8","16","0,0","00:41:22","00:44:52","--","--"
Running,2021-09-02 16:33:21,false,"Running","5,49","482","00:46:53","145","178","126","169","8:33","5:33","--","--","0,90","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","01:12.65.1","17","0,0","00:44:30","00:46:58","--","--"
Running,2021-07-24 17:07:19,false,"Natal Running","6,56","494","00:37:03","166","180","167","175","5:39","5:13","31","30","1,06","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","03:22.16.4","7","0,0","00:36:54","00:37:32","39","51"
Running,2021-07-21 16:31:11,false,"Natal Running","8,17","637","00:51:18","162","184","147","179","6:17","4:23","59","58","1,06","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","02:00.00","15","0,0","00:49:35","01:01:52","40","52"
Running,2021-07-19 16:33:09,false,"Natal Running","9,56","728","00:54:46","168","178","166","177","5:44","5:08","61","60","1,05","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","04:08.94.7","10","0,0","00:54:31","00:59:42","37","52"
Running,2021-07-16 16:34:04,false,"Natal Running","11,08","889","01:12:01","165","184","145","220","6:30","4:53","82","81","1,05","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:18.94.1","29","0,0","01:11:20","01:12:13","36","57"
Running,2021-07-14 16:20:09,false,"Natal Running","5,00","398","00:31:54","164","181","152","174","6:23","5:12","21","16","1,03","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:02.53.6","6","0,0","00:31:49","00:33:46","37","51"
Running,2021-07-12 16:53:08,false,"Natal Running","5,07","394","00:28:15","171","183","165","172","5:34","5:01","16","18","1,09","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:28.97.8","6","0,0","00:28:10","00:29:47","40","52"
Running,2021-07-07 16:49:29,false,"Natal Running","6,62","508","00:40:04","165","185","153","236","6:03","4:42","31","30","1,07","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:04.02.6","13","0,0","00:39:57","00:54:11","40","52"
Running,2021-07-05 16:29:03,false,"Natal Running","6,94","575","00:43:43","168","185","149","174","6:18","2:34","43","42","1,06","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","05:17.68.4","7","0,0","00:42:40","00:45:35","36","52"
Running,2021-06-23 16:33:50,false,"Natal Running","8,83","690","00:50:03","169","182","166","179","5:40","5:02","40","39","1,07","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:03.31.5","11","0,0","00:49:41","00:54:57","37","52"
Running,2021-06-21 16:33:50,false,"Natal Running","10,51","821","01:00:01","168","180","166","233","5:43","5:03","27","33","1,05","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:01.20","13","0,0","00:59:30","01:07:58","40","59"
Running,2021-06-18 16:44:35,false,"Natal Running","10,51","833","01:00:02","169","179","166","175","5:43","5:06","53","52","1,05","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:01.94.7","13","0,0","00:59:46","01:02:22","37","52"
Running,2021-06-16 16:41:50,false,"Natal Running","7,52","604","00:46:06","165","183","150","179","6:08","4:17","55","55","1,08","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:05.55.6","15","0,0","00:45:48","00:46:41","40","52"
Running,2021-06-14 16:46:50,false,"Natal Running","9,48","770","00:55:05","169","179","162","174","5:48","4:58","68","67","1,05","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:05.28.1","11","0,0","00:54:23","01:00:26","37","52"
Running,2021-06-08 16:28:33,false,"Natal Running","9,38","751","00:55:02","166","180","166","177","5:52","5:18","30","30","1,03","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:01.85.3","11","0,0","00:54:47","00:57:48","39","51"
Running,2021-06-02 16:41:34,false,"Natal Running","8,34","681","00:57:48","159","182","139","181","6:56","4:41","42","38","1,01","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","01:48.43.3","16","0,0","00:52:41","00:57:59","40","52"
Running,2021-05-31 16:29:44,false,"Natal Running","9,43","761","00:55:05","167","180","167","177","5:50","5:14","57","55","1,02","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:04.60.5","11","0,0","00:54:42","00:58:20","37","52"
Running,2021-05-29 16:40:40,false,"Natal Running","4,56","339","00:42:48","122","144","133","170","9:24","6:47","25","20","0,81","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:07.28.1","7","0,0","00:42:47","00:42:48","40","52"
Running,2021-05-28 16:49:46,false,"Natal Running","7,04","554","00:40:12","166","177","166","175","5:43","5:07","50","48","1,05","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:13.58.8","8","0,0","00:39:54","00:43:28","40","52"
Running,2021-05-26 17:07:04,false,"Natal Running","6,51","514","00:41:26","157","180","145","179","6:22","4:04","22","20","1,08","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:00.16.7","21","0,0","00:40:24","00:41:28","40","51"
Running,2021-05-25 16:35:12,false,"Natal Running","6,07","479","00:34:33","167","180","168","175","5:42","5:17","26","26","1,05","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:26.23.6","7","0,0","00:34:24","00:35:09","40","51"
Running,2021-05-21 16:16:50,false,"Macau Running","7,59","632","00:45:41","168","179","167","177","6:01","5:25","7","11","1,00","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","03:37.71.6","8","0,0","00:45:33","00:50:23","-3","7"
Running,2021-05-18 16:35:03,false,"Macau Running","8,74","703","00:55:31","161","183","147","212","6:21","4:41","11","14","1,07","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:03.13.4","16","0,0","00:53:15","00:55:31","-4","6"
Running,2021-05-17 16:17:32,false,"Macau Running","6,76","563","00:44:01","163","179","153","245","6:31","5:28","11","11","0,99","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","03:23.30.9","8","0,0","00:44:00","00:44:01","-4","6"
Running,2021-05-13 16:08:29,false,"Macau Running","10,09","826","00:59:49","167","179","168","177","5:56","5:38","12","14","1,00","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:35.61.1","11","0,0","00:59:47","00:59:49","-6","6"
Running,2021-05-11 16:20:53,false,"Macau Running","8,15","661","00:52:55","161","181","149","216","6:30","4:34","9","13","1,02","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:08.97.3","17","0,0","00:51:57","00:52:55","--","6"
Running,2021-05-10 16:15:40,false,"Macau Running","7,78","633","00:49:22","165","179","159","187","6:21","5:21","10","11","0,99","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","02:24.34.5","9","0,0","00:48:56","00:50:28","-4","6"
Running,2021-05-06 17:01:00,false,"Natal Running","5,02","398","00:29:12","168","181","169","176","5:49","5:25","32","36","1,02","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:06.71","6","0,0","00:29:05","00:29:12","40","52"
Running,2021-05-05 16:45:14,false,"Natal Running","6,96","533","00:45:44","158","185","147","180","6:34","4:20","39","38","1,02","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:04.08","17","0,0","00:45:38","00:45:44","40","51"
Running,2021-05-03 16:29:01,false,"Natal Running","5,11","461","00:29:16","0","0","170","179","5:44","5:24","11","13","1,03","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:37.00.8","6","0,0","00:29:08","00:29:34","40","51"
Running,2021-04-30 16:25:52,false,"Natal Running","10,03","909","01:00:28","0","0","168","176","6:02","5:42","68","66","0,99","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:12.81.9","11","0,0","01:00:19","01:00:37","36","56"
Running,2021-04-28 16:22:08,false,"Natal Running","6,37","564","00:40:24","0","0","160","177","6:20","5:31","22","22","0,98","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","04:14.53.9","7","0,0","00:40:06","00:41:10","40","51"
Running,2021-04-27 16:15:07,false,"Natal Running","6,11","526","00:40:10","0","0","148","181","6:34","4:39","14","13","1,01","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","01:13.81.1","15","0,0","00:39:53","00:40:10","40","51"
Running,2021-04-26 16:39:51,false,"Natal Running","5,01","453","00:31:35","0","0","160","177","6:18","5:29","19","19","0,98","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:06.55.8","6","0,0","00:31:18","00:33:33","40","51"
Running,2021-04-23 16:20:33,false,"Natal Running","5,58","493","00:36:28","0","0","151","174","6:32","5:24","46","45","1,01","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","02:26.38.4","7","0,0","00:35:46","00:36:28","40","52"
Running,2021-04-21 16:35:19,false,"Natal Running","8,80","736","01:03:01","0","0","142","233","7:10","4:15","49","49","0,97","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","01:38.72.4","17","0,0","01:02:57","01:03:01","40","51"
Running,2021-04-20 16:25:31,false,"Natal Running","8,51","706","01:03:46","0","0","141","175","7:30","5:32","49","48","0,94","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","05:52.47.1","9","0,0","01:03:43","01:03:46","40","52"
Running,2021-04-19 16:13:04,false,"Natal Running","8,54","694","01:00:59","0","0","141","181","7:09","5:16","42","41","0,99","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:02.44.1","21","0,0","01:00:55","01:00:59","40","51"
Running,2021-04-01 07:55:45,false,"Natal Running","7,00","603","00:48:23","0","0","147","175","6:54","5:35","51","51","0,98","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:02.42.6","8","0,0","00:48:21","00:52:36","37","50"
Running,2021-03-30 07:53:46,false,"Natal Running","5,90","465","00:43:54","0","0","132","175","7:26","4:45","26","30","1,01","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","01:51.72.4","15","0,0","00:43:40","00:43:54","40","52"
Running,2021-03-28 09:11:19,false,"Natal Running","5,66","429","00:50:30","0","0","106","241","8:55","4:40","31","34","1,11","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:03.70.3","9","0,0","00:41:23","00:50:30","36","51"
Running,2021-03-02 16:44:15,false,"Natal Running","8,59","689","00:50:38","170","181","169","177","5:54","5:10","30","26","1,00","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:06.56","10","0,0","00:50:26","00:52:22","40","52"
Running,2021-02-28 16:59:31,false,"Natal Running","7,10","579","00:41:54","172","181","170","175","5:54","5:31","48","51","1,00","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:37.77.7","8","0,0","00:41:53","00:41:55","40","52"
Running,2021-02-25 16:42:24,false,"Natal Running","5,06","413","00:30:13","169","179","166","175","5:58","5:28","35","30","1,01","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:27.88.6","6","0,0","00:29:57","00:32:46","40","52"
Running,2021-02-23 16:45:23,false,"Natal Running","4,10","282","00:21:17","169","187","170","186","5:11","4:22","7","10","1,13","0,0","0,0","0","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:01.80","14","0,0","00:20:37","00:31:26","40","51"
